"","sensorId","cycle_id","cycle_step_id","resistancy_of_sensor","temperature","pressure","relative_humidity"
"1","17","844","0",5565217.5,33.774986,1002.140198,42.953712
"2","17","844","1",1890607,32.950565,1002.113159,43.547504
"3","17","844","2",207077.859375,33.232075,1002.107727,43.648933
"4","17","844","3",147720.71875,33.827766,1002.115356,43.819725
"5","17","844","4",123373.492188,33.930824,1002.121155,43.624691
"6","17","844","5",109028.960938,33.996174,1002.125366,43.425213
"7","17","844","6",53024.027344,34.152008,1002.104248,43.444302
"8","17","844","7",87942.289062,34.649681,1002.090942,43.212448
"9","17","844","8",91723.398438,34.790443,1002.078247,42.821457
"10","17","844","9",95326.757812,34.908577,1002.118835,42.525642
"11","17","848","0",5576582.5,34.255062,1002.160889,42.313339
"12","17","848","1",1857175.25,33.433151,1002.157349,42.973133
"13","17","848","2",203255.265625,33.679474,1002.079834,43.063778
"14","17","848","3",144837.34375,34.29528,1002.120667,43.217896
"15","17","848","4",121183.429688,34.390793,1002.126221,43.058949
"16","17","848","5",106378.554688,34.463684,1002.139099,42.854767
"17","17","848","6",53455.835938,34.62455,1002.085266,42.868237
"18","17","848","7",87942.289062,35.109657,1002.105225,42.726387
"19","17","848","8",93910.492188,35.260471,1002.110352,42.288765
"20","17","848","9",95916.070312,35.366035,1002.09137,41.925396
"21","17","856","0",5657458.5,34.720062,1002.09967,41.745266
"22","17","856","1",1829796.75,33.88055,1002.167786,42.444221
"23","17","856","2",201932.5625,34.134415,1002.077332,42.523273
"24","17","856","3",143377.203125,34.742683,1002.095764,42.602802
"25","17","856","4",119990.625,34.843224,1002.121765,42.487362
"26","17","856","5",104425.859375,34.911091,1002.119263,42.295197
"27","17","856","6",53189.277344,35.061901,1002.105286,42.31337
"28","17","856","7",88950.664062,35.55204,1002.148254,42.069027
"29","17","856","8",94065.773438,35.695312,1002.12677,41.710426
"30","17","856","9",96403.6875,35.803394,1002.132874,41.396599
"31","17","860","0",5107232,35.006603,1002.133484,41.133156
"32","17","860","1",1683172.375,34.290253,1002.144226,41.929939
"33","17","860","2",183842.015625,34.556683,1002.100159,42.022285
"34","17","860","3",136496.9375,35.152386,1002.142883,42.166492
"35","17","860","4",113450.03125,35.257957,1002.134521,42.003338
"36","17","860","5",99902.4375,35.313255,1002.141479,41.816086
"37","17","860","6",51581.703125,35.469093,1002.110535,41.804466
"38","17","860","7",87942.289062,35.956718,1002.145142,41.656956
"39","17","860","8",94169.578125,36.094963,1002.173401,41.135174
"40","17","860","9",96294.90625,36.203049,1002.166931,40.870358
"41","17","868","0",5593718,35.549526,1002.198914,40.70908
"42","17","868","1",1818827.75,34.684872,1002.16925,41.420883
"43","17","868","2",194344.28125,34.951305,1002.126465,41.537022
"44","17","868","3",138941.65625,35.549526,1002.191772,41.66877
"45","17","868","4",115211.523438,35.645042,1002.179382,41.486576
"46","17","868","5",101265.820312,35.702854,1002.168945,41.324203
"47","17","868","6",51958.59375,35.858692,1002.169678,41.330639
"48","17","868","7",89229.695312,36.343807,1002.19397,41.122448
"49","17","868","8",94849.945312,36.489594,1002.209595,40.729317
"50","17","868","9",96951.335938,36.58511,1002.182556,40.43935
"51","17","872","0",5645761.5,35.936611,1002.236084,40.273296
"52","17","872","1",1741126.5,35.049335,1002.188782,41.017658
"53","17","872","2",191940.015625,35.320793,1002.183716,41.091835
"54","17","872","3",137597.421875,35.919014,1002.223389,41.22905
"55","17","872","4",114132.859375,36.001965,1002.222107,41.057743
"56","17","872","5",100372.476562,36.064804,1002.233948,40.848003
