"","sensorId","cycle_id","cycle_step_id","resistancy_of_sensor","temperature","pressure","relative_humidity"
"1","1","26","0",36098044,32.927944,992.166199,44.804562
"2","1","26","1",7811204,32.128666,992.14917,45.226856
"3","1","26","2",511233.15625,32.395088,992.123047,45.303211
"4","1","26","3",350325,32.995808,992.131592,45.335556
"5","1","26","4",289674.6875,33.111427,992.137329,45.085506
"6","1","26","5",252964.421875,33.196884,992.14325,44.703049
"7","1","26","6",96622.007812,33.352718,992.129089,44.796169
"8","1","26","7",234217.75,33.852901,992.168579,44.471882
"9","1","26","8",267014.34375,33.996174,992.12323,43.926086
"10","1","26","9",280164.15625,34.116821,992.148743,43.537632
"11","1","34","0",39207896,33.488449,992.195007,43.338852
"12","1","34","1",8348535,32.686653,992.160034,43.759174
"13","1","34","2",535284.875,32.940514,992.081238,43.851231
"14","1","34","3",364153.625,33.556313,992.14624,43.884087
"15","1","34","4",298020.96875,33.664391,992.155029,43.665272
"16","1","34","5",260493.515625,33.74231,992.210388,43.381996
"17","1","34","6",98746.382812,33.898148,992.150146,43.37664
"18","1","34","7",240658.046875,34.398335,992.168945,43.102509
"19","1","34","8",276085.1875,34.544117,992.166016,42.615223
"20","1","34","9",291157.25,34.664764,992.143677,42.204899
"21","1","38","0",40367108,34.008739,992.180603,42.023441
"22","1","38","1",8687169,33.216991,992.16333,42.479847
"23","1","38","2",550389.6875,33.478394,992.11554,42.559662
"24","1","38","3",376263.09375,34.076607,992.136597,42.643799
"25","1","38","4",301975.8125,34.182171,992.153748,42.401608
"26","1","38","5",260891.71875,34.262604,992.161682,42.156677
"27","1","38","6",99032.882812,34.420952,992.147339,42.151409
"28","1","38","7",244449.75,34.913601,992.153015,41.859108
"29","1","38","8",276981.34375,35.061901,992.134338,41.435368
"30","1","38","9",292906.1875,35.185066,992.13324,41.075829
"31","1","46","0",41478480,34.541603,992.228882,40.807667
"32","1","46","1",8928610,33.709633,992.162964,41.378246
"33","1","46","2",558494.6875,33.978577,992.124817,41.403858
"34","1","46","3",376678.3125,34.591873,992.181213,41.554775
"35","1","46","4",303317.53125,34.684872,992.154846,41.324345
"36","1","46","5",262901.15625,34.757763,992.148865,41.061676
"37","1","46","6",99436.78125,34.916115,992.139526,41.080307
"38","1","46","7",246035.5625,35.411282,992.141052,40.837349
"39","1","46","8",281550.71875,35.557068,992.156616,40.427307
"40","1","46","9",299853.59375,35.670174,992.1427,40.056271
"41","1","50","0",42946264,35.021687,992.210693,39.861626
"42","1","50","1",9024511,34.177147,992.168335,40.459045
"43","1","50","2",560328.3125,34.451118,992.141235,40.526806
"44","1","50","3",380881.53125,35.059387,992.167297,40.621651
"45","1","50","4",302779.40625,35.164955,992.157349,40.441692
"46","1","50","5",261491.3125,35.230309,992.151367,40.2272
"47","1","50","6",99263.28125,35.38866,992.129272,40.203583
"48","1","50","7",249269.71875,35.873772,992.150818,39.95393
"49","1","50","8",284365.46875,36.019558,992.157349,39.569469
"50","1","50","9",299853.59375,36.127644,992.147461,39.211262
"51","1","58","0",38313944,35.366035,992.186401,39.088806
"52","1","58","1",8478137,34.632088,992.198425,39.655567
"53","1","58","2",534446.75,34.901035,992.138,39.740116
"54","1","58","3",359172.21875,35.499256,992.143188,39.838779
"55","1","58","4",294676.25,35.60231,992.143188,39.629211
"56","1","58","5",255043.59375,35.670174,992.15686,39.40387
"57","1","58","6",95647.296875,35.833557,992.142639,39.41658
"58","1","58","7",243577.546875,36.316158,992.167786,39.167103
"59","1","58","8",281783.15625,36.461945,992.161926,38.801868
"60","1","58","9",299327.6875,36.57003,992.176392,38.450867
"61","1","62","0",42694464,35.911476,992.197144,38.293724
"62","1","62","1",9462316,35.044304,992.185303,38.915474
"63","1","62","2",571109.875,35.315769,992.11438,38.981838
"64","1","62","3",379610.75,35.924046,992.166199,39.080627
"65","1","62","4",301708.90625,36.012016,992.154053,38.780697
"66","1","62","5",260891.71875,36.07737,992.186768,38.698776
"67","1","62","6",98065.507812,36.235725,992.144531,38.710709
"68","1","62","7",249087.8125,36.723354,992.189514,38.4622
"69","1","62","8",282951.09375,36.859089,992.174133,38.102921
"70","1","62","9",300381.34375,36.969688,992.134216,37.759251
"71","1","70","0",43372600,36.318672,992.214172,37.604149
"72","1","70","1",9253883,35.438931,992.144958,38.252827
"73","1","70","2",572546.8125,35.722961,992.137634,38.34388
"74","1","70","3",379189.03125,36.321186,992.174194,38.434746
"75","1","70","4",303587.3125,36.414188,992.196411,38.249073
"76","1","70","5",262901.15625,36.469486,992.180969,38.05341
"77","1","70","6",97896.75,36.62281,992.151672,38.052734
"78","1","70","7",247462.546875,37.115475,992.159607,37.822929
"79","1","70","8",285316.25,37.248695,992.164795,37.470306
