"","sensorId","cycle_id","cycle_step_id","resistancy_of_sensor","temperature","pressure","relative_humidity"
"1",1,"898","0",21794480,33.362774,1006.230896,42.745975
"2",1,"898","1",2072874.5,32.560978,1006.236084,43.329731
"3",1,"898","2",215442.875,32.812325,1006.157104,43.275002
"4",1,"898","3",159750.390625,33.418068,1006.222656,43.379017
"5",1,"898","4",135953.265625,33.523636,1006.228271,43.184814
"6",1,"898","5",122752.335938,33.586475,1006.220154,42.9552
"7",1,"898","6",75762.0625,33.754875,1006.210205,42.94519
"8",1,"898","7",186656.9375,34.250038,1006.219727,42.719425
"9",1,"898","8",212492.21875,34.400845,1006.247742,42.294468
"10",1,"898","9",220452.09375,34.516468,1006.209106,41.926678
"11",1,"905","0",19224406,33.7775,1006.289368,41.748146
"12",1,"905","1",1803213.75,33.058643,1006.227722,42.309566
"13",1,"905","2",194565.84375,33.320045,1006.204956,42.383137
"14",1,"905","3",149271.140625,33.928307,1006.247192,42.474209
"15",1,"905","4",128385.15625,34.028847,1006.260132,42.27409
"16",1,"905","5",116390.085938,34.089172,1006.238831,42.069344
"17",1,"905","6",73542.085938,34.257576,1006.240845,42.071297
"18",1,"905","7",192916.359375,34.752739,1006.275818,41.803593
"19",1,"905","8",215442.875,34.890984,1006.21936,41.396996
"20",1,"905","9",225104.421875,35.011631,1006.217102,41.025272
"21",1,"909","0",22842802,34.368172,1006.319458,40.889618
"22",1,"909","1",2034268.625,33.523636,1006.233521,41.416637
"23",1,"909","2",211439.1875,33.795094,1006.223083,41.496788
"24",1,"909","3",160955.671875,34.398335,1006.25946,41.634499
"25",1,"909","4",136278.953125,34.498875,1006.233276,41.45924
"26",1,"909","5",122312.46875,34.564224,1006.232544,41.231728
"27",1,"909","6",76032.078125,34.722576,1006.231873,41.292606
"28",1,"909","7",198526.5625,35.212715,1006.232849,41.000736
"29",1,"909","8",218476.640625,35.35347,1006.227844,40.583862
"30",1,"909","9",228724.59375,35.469093,1006.24707,40.332966
"31",1,"918","0",24107412,34.818092,1006.308472,40.113579
"32",1,"918","1",2090329.125,33.968525,1006.263489,40.650833
"33",1,"918","2",214091.578125,34.237469,1006.204529,40.862328
"34",1,"918","3",163109.265625,34.848251,1006.243164,40.89167
"35",1,"918","4",139737.984375,34.94125,1006.213318,40.704037
"36",1,"918","5",124091.132812,35.009117,1006.26062,40.507626
"37",1,"918","6",77201.445312,35.167469,1006.215515,40.532089
"38",1,"918","7",201455.828125,35.657608,1006.235046,40.282837
"39",1,"918","8",223336.96875,35.793343,1006.270752,39.932636
"40",1,"918","9",232304.90625,35.893883,1006.254761,39.584938
"41",1,"922","0",24637594,35.250416,1006.292725,39.433563
"42",1,"922","1",2082358.875,34.385765,1006.28125,40.027878
"43",1,"922","2",214900.3125,34.649681,1006.215149,40.14806
"44",1,"922","3",163421.640625,35.257957,1006.244873,40.230412
"45",1,"922","4",139168.25,35.355984,1006.269043,40.061863
"46",1,"922","5",123462.742188,35.406254,1006.236328,39.875957
"47",1,"922","6",77411.554688,35.572147,1006.219116,39.889103
"48",1,"922","7",203134.296875,36.052235,1006.253113,39.662998
"49",1,"922","8",224807.90625,36.185452,1006.242249,39.295521
"50",1,"922","9",231517.0625,36.306103,1006.269287,38.9869
"51",1,"930","0",22215594,35.577175,1006.273315,38.814911
"52",1,"930","1",1995615.125,34.77787,1006.255127,39.469223
"53",1,"930","2",208469.0625,35.044304,1006.201538,39.559326
"54",1,"930","3",159750.390625,35.647556,1006.218628,39.670303
"55",1,"930","4",137375.90625,35.735527,1006.226013,39.542831
"56",1,"930","5",122224.875,35.805908,1006.243713,39.323811
"57",1,"930","6",76923.078125,35.946667,1006.197693,39.310028
"58",1,"930","7",203862.234375,36.444351,1006.255859,39.104111
"59",1,"930","8",225849.140625,36.572544,1006.252686,38.730976
"60",1,"930","9",233416.90625,36.680626,1006.25531,38.338425
"61",1,"934","0",25148120,36.006992,1006.32428,38.28067
"62",1,"934","1",2132778,35.134792,1006.241638,38.919727
"63",1,"934","2",217363.609375,35.40374,1006.228699,38.93224
"64",1,"934","3",164683.171875,36.004478,1006.27948,39.149452
"65",1,"934","4",139967.1875,36.089939,1006.270386,38.908672
"66",1,"934","5",123910.9375,36.147751,1006.278076,38.742451
"67",1,"934","6",77411.554688,36.313644,1006.304565,38.81485
"68",1,"934","7",204963.96875,36.791222,1006.269226,38.731945
"69",1,"934","8",226298.34375,36.929466,1006.280273,38.289116
"70",1,"934","9",235673.1875,37.024986,1006.280151,37.931499
"71",1,"942","0",25396628,36.371456,1006.343933,37.811275
"72",1,"942","1",2116249,35.484173,1006.294617,38.459644
"73",1,"942","2",217502.125,35.763176,1006.258789,38.538475
"74",1,"942","3",164049.984375,36.358891,1006.305908,38.671055
"75",1,"942","4",139623.671875,36.43681,1006.298401,38.501293
"76",1,"942","5",124181.421875,36.497135,1006.29248,38.335625
