"","sensorId","cycle_id","cycle_step_id","resistancy_of_sensor","temperature","pressure","relative_humidity"
"1","25","1551","0",47012912,36.509701,1009.820068,27.382551
"2","25","1551","1",4785046.5,35.579689,1009.784851,27.779861
"3","25","1551","2",440335.40625,35.853664,1009.767029,27.825493
"4","25","1551","3",351045.59375,36.429268,1009.810608,27.936087
"5","25","1551","4",299327.6875,36.489594,1009.78363,27.86348
"6","25","1551","5",262093.671875,36.517242,1009.772217,27.743652
"7","25","1551","6",127904.070312,36.675598,1009.750061,27.740593
"8","25","1551","7",308248.03125,37.135582,1009.776062,27.630116
"9","25","1551","8",337508.25,37.248695,1009.743286,27.428822
"10","25","1551","9",350325,37.339184,1009.749329,27.220255
"11","25","1555","0",50267304,36.680626,1009.818237,27.087105
"12","25","1555","1",4789243,35.783287,1009.802002,27.442751
"13","25","1555","2",439202.21875,36.039665,1009.754883,27.486631
"14","25","1555","3",348180.90625,36.635384,1009.785034,27.637207
"15","25","1555","4",297501.4375,36.710789,1009.765137,27.565973
"16","25","1555","5",263306.75,36.7686,1009.765747,27.465532
"17","25","1555","6",129850.367188,36.937008,1009.766724,27.413342
"18","25","1555","7",316537.875,37.409565,1009.750854,27.353771
"19","25","1555","8",343970.4375,37.53524,1009.748779,27.137138
"20","25","1555","9",357666.78125,37.653381,1009.776917,26.931147
"21","25","1563","0",49081444,36.94455,1009.816162,26.783262
"22","25","1563","1",4634795,36.067314,1009.775574,27.157104
"23","25","1563","2",436115.84375,36.333752,1009.764099,27.218237
"24","25","1563","3",343278.59375,36.929466,1009.787964,27.357265
"25","25","1563","4",290909.09375,37.012417,1009.769592,27.259026
"26","25","1563","5",255425.296875,37.070229,1009.777405,27.164238
"27","25","1563","6",130346.234375,37.216019,1009.746399,27.165499
"28","25","1563","7",319800.125,37.68103,1009.767273,27.027601
"29","25","1563","8",350325,37.836876,1009.763,26.841452
"30","25","1563","9",364153.625,37.947472,1009.767944,26.640587
"31","25","1567","0",52692260,37.278858,1009.799438,26.507639
"32","25","1567","1",4760023,36.308617,1009.791931,26.868158
"33","25","1567","2",439768.09375,36.575054,1009.746704,26.940094
"34","25","1567","3",345013.46875,37.178314,1009.760986,27.034992
"35","25","1567","4",293915.03125,37.27383,1009.755737,27.037514
"36","25","1567","5",258716.53125,37.314049,1009.745422,26.886021
"37","25","1567","6",131046.835938,37.487484,1009.738342,26.795534
"38","25","1567","7",324358.5625,37.962555,1009.748169,26.76902
"39","25","1567","8",355432.15625,38.065613,1009.76239,26.545467
"40","25","1567","9",367684.03125,38.138508,1009.75177,26.347246
"41","25","1575","0",54061456,37.479942,1009.793152,26.232237
"42","25","1575","1",4739369.5,36.562489,1009.802185,26.602589
"43","25","1575","2",442619.40625,36.821388,1009.74054,26.662653
"44","25","1575","3",342589.5,37.404533,1009.758667,26.749905
"45","25","1575","4",292655.03125,37.474918,1009.740662,26.678457
"46","25","1575","5",258129.5625,37.495026,1009.73645,26.586277
"47","25","1575","6",130048.257812,37.655895,1009.751099,26.610722
"48","25","1575","7",326218.53125,38.123425,1009.780457,26.50609
"49","25","1575","8",358794.6875,38.226482,1009.785461,26.28833
"50","25","1575","9",378138.84375,38.296867,1009.777954,26.106689
"51","25","1580","0",54910768,37.628246,1009.822876,25.99132
"52","25","1580","1",4827342.5,36.67057,1009.76825,26.363777
"53","25","1580","2",442906.5625,36.939522,1009.763794,26.463017
"54","25","1580","3",347826.09375,37.517647,1009.769714,26.588161
"55","25","1580","4",295697.375,37.600597,1009.772339,26.523319
"56","25","1580","5",261091.28125,37.638298,1009.770142,26.487823
"57","25","1580","6",130845.898438,37.79163,1009.758179,26.439861
"58","25","1580","7",328099.96875,38.281784,1009.792297,26.331533
"59","25","1580","8",364542.53125,38.412491,1009.801514,26.138258
"60","25","1580","9",386488.03125,38.497955,1009.797302,25.919413
"61","25","1588","0",55538984,37.82682,1009.810364,25.809658
"62","25","1588","1",4818823.5,36.891766,1009.781372,26.178465
"63","25","1588","2",446090.1875,37.163231,1009.755676,26.250227
"64","25","1588","3",347472,37.723763,1009.794495,26.368053
"65","25","1588","4",293915.03125,37.786602,1009.781921,26.274029
"66","25","1588","5",261091.28125,37.829334,1009.784302,26.189402
"67","25","1588","6",130246.757812,37.970097,1009.75,26.206509
"68","25","1588","7",331284.375,38.430088,1009.794739,26.106634
"69","25","1588","8",368876.09375,38.558281,1009.787292,25.924356
"70","25","1588","9",386050.90625,38.636204,1009.802612,25.727112
"71","25","1592","0",55083840,37.927364,1009.8078,25.603701
"72","25","1592","1",4818823.5,37.085312,1009.763,26.001972
"73","25","1592","2",445798.875,37.349236,1009.714417,26.078463
"74","25","1592","3",348536.40625,37.949989,1009.800476,26.182814
"75","25","1592","4",294676.25,38.007801,1009.763672,26.077419
"76","25","1592","5",260692.46875,38.048016,1009.786682,25.976139
"77","25","1592","6",129751.648438,38.201347,1009.746216,25.988699
"78","25","1592","7",335188.21875,38.653801,1009.783508,25.882627
"79","25","1592","8",380033.40625,38.754345,1009.766479,25.676235
"80","25","1592","9",388688.5625,38.829754,1009.763428,25.500982
"81","25","1600","0",57099544,38.163643,1009.821228,25.370493
"82","25","1600","1",4945366.5,37.271317,1009.76239,25.79203
"83","25","1600","2",450505.9375,37.53524,1009.743469,25.857357
"84","25","1600","3",351769.15625,38.103317,1009.770508,25.953154
"85","25","1600","4",296467.875,38.188778,1009.7771,25.877619
"86","25","1600","5",262093.671875,38.231514,1009.770447,25.991169
"87","25","1600","6",130645.570312,38.402439,1009.781616,25.774061
"88","25","1600","7",330642.5625,38.867458,1009.764526,25.663441
"89","25","1600","8",377302.875,39.000679,1009.779297,25.47086
"90","25","1600","9",388910,39.086143,1009.78717,25.280083
"91","25","1604","0",57399604,38.430088,1009.851562,25.172697
"92","25","1604","1",4963344.5,37.437214,1009.796082,25.553226
"93","25","1604","2",454102,37.708683,1009.762878,25.618956
"94","25","1604","3",348892.6875,38.289326,1009.797485,25.753857
"95","25","1604","4",298803.625,38.32703,1009.819885,25.575638
"96","25","1604","5",263103.8125,38.359703,1009.807556,25.578281
"97","25","1604","6",130048.257812,38.513039,1009.781067,25.585201
"98","25","1604","7",337842.28125,38.980572,1009.760742,25.485716
"99","25","1604","8",377302.875,39.093685,1009.779907,25.313622
"100","25","1604","9",390914.28125,39.174122,1009.786804,25.117104
"101","25","1612","0",58163744,38.505497,1009.852173,24.998106
"102","25","1612","1",4986001,37.510109,1009.785706,25.422165
"103","25","1612","2",455010,37.789116,1009.757629,25.493855
"104","25","1612","3",355432.15625,38.344624,1009.80426,25.610006
"105","25","1612","4",300910.96875,38.384842,1009.798889,25.530903
"106","25","1612","5",265353.71875,38.412491,1009.791016,25.456306
"107","25","1612","6",130246.757812,38.573364,1009.762451,25.49124
"108","25","1612","7",341219.59375,39.015762,1009.786133,25.400673
"109","25","1612","8",381733.46875,39.108768,1009.788513,25.216061
"110","25","1612","9",393392.25,39.184177,1009.790771,25.04665
"111","25","1616","0",58241280,38.513039,1009.830627,24.911209
"112","25","1616","1",5059913.5,37.53273,1009.771362,25.36924
"113","25","1616","2",461157.40625,37.804199,1009.753967,25.407404
"114","25","1616","3",356918.78125,38.382328,1009.796753,25.541679
"115","25","1616","4",300381.34375,38.450195,1009.802734,25.481297
"116","25","1616","5",266805.625,38.467793,1009.819031,25.394932
"117","25","1616","6",133090.71875,38.61861,1009.773987,25.418049
"118","25","1616","7",342589.5,39.081116,1009.784302,25.307117
"119","25","1616","8",382589.1875,39.186687,1009.768127,25.079731
"120","25","1616","9",396361.53125,39.26461,1009.751221,24.943497
"121","25","1624","0",59188080,38.601013,1009.869568,24.836178
"122","25","1624","1",5131224.5,37.638298,1009.791382,25.31748
"123","25","1624","2",461469.125,37.902229,1009.745605,25.322159
"124","25","1624","3",359929.6875,38.497955,1009.799011,25.446737
"125","25","1624","4",303857.5625,38.573364,1009.819214,25.370516
"126","25","1624","5",267432.75,38.606041,1009.799683,25.263475
"127","25","1624","6",134031.40625,38.769428,1009.780396,25.265615
"128","25","1624","7",342933.6875,39.226906,1009.789185,25.159714
"129","25","1624","8",381947.03125,39.322426,1009.753113,24.970009
"130","25","1624","9",399609.75,39.395321,1009.751099,24.806051
"131","25","1628","0",60374020,38.731724,1009.85199,24.698986
"132","25","1628","1",5155443.5,37.774036,1009.784363,25.120468
"133","25","1628","2",465560.34375,38.040474,1009.753113,25.185415
"134","25","1628","3",361071.9375,38.62112,1009.81012,25.303062
"135","25","1628","4",306311.6875,38.688988,1009.803589,25.231752
"136","25","1628","5",268695.875,38.72921,1009.803467,25.130863
"137","25","1628","6",133507.171875,38.87751,1009.755981,25.153673
"138","25","1628","7",340538.75,39.340019,1009.767578,24.982367
"139","25","1628","8",384745.4375,39.435539,1009.765137,24.853035
"140","25","1628","9",400547.625,39.51849,1009.774048,24.679008
"141","25","1636","0",60751796,38.834782,1009.817688,24.570599
"142","25","1636","1",5219496.5,37.879604,1009.776001,25.003159
"143","25","1636","2",470048.1875,38.156105,1009.755615,25.04693
"144","25","1636","3",362221.4375,38.731724,1009.798828,25.174891
"145","25","1636","4",306311.6875,38.774452,1009.790283,25.090652
"146","25","1636","5",270398.71875,38.792049,1009.772888,24.998983
"147","25","1636","6",134559.796875,38.950409,1009.768311,24.951361
"148","25","1636","7",344665.09375,39.412918,1009.765503,24.938866
"149","25","1636","8",386050.90625,39.510948,1009.763428,24.755007
"150","25","1636","9",400078.125,39.578819,1009.774536,24.585337
"151","25","1640","0",61521708,38.902649,1009.828857,24.466801
"152","25","1640","1",5331598,37.942448,1009.788086,24.882528
"153","25","1640","2",473635.53125,38.211403,1009.755432,24.963856
"154","25","1640","3",365714.28125,38.802101,1009.801697,25.087383
"155","25","1640","4",309365.5625,38.867458,1009.796387,25.010458
"156","25","1640","5",273870.03125,38.897621,1009.779907,24.980007
"157","25","1640","6",134136.75,39.063522,1009.776917,24.927507
"158","25","1640","7",346062.84375,39.533573,1009.766541,24.855345
"159","25","1640","8",388688.5625,39.629093,1009.778259,24.665859
"160","25","1640","9",402911.65625,39.727123,1009.779724,24.493143
"161","25","1648","0",61695456,39.053467,1009.843933,24.380407
"162","25","1648","1",5331598,38.078178,1009.780945,24.773149
"163","25","1648","2",477611.9375,38.359703,1009.781006,24.828064
"164","25","1648","3",366106.53125,38.93784,1009.806458,24.944893
"165","25","1648","4",310773.90625,38.978058,1009.781616,24.882416
"166","25","1648","5",274310.21875,39.010735,1009.809814,24.786556
"167","25","1648","6",133821.21875,39.154015,1009.775269,24.776009
"168","25","1648","7",344665.09375,39.621548,1009.790771,24.703562
"169","25","1648","8",390690.5625,39.734665,1009.793823,24.521065
"170","25","1648","9",406752.71875,39.827671,1009.799438,24.342604
"171","25","1652","0",61826416,39.148983,1009.839844,24.262468
"172","25","1652","1",5373565,38.19632,1009.803467,24.706045
"173","25","1652","2",479288.5625,38.482872,1009.785034,24.739473
"174","25","1652","3",375435.375,39.06855,1009.772644,24.834883
"175","25","1652","4",312480.9375,39.121334,1009.803589,24.76796
"176","25","1652","5",274530.84375,39.143959,1009.797974,24.660416
"177","25","1652","6",133716.375,39.297291,1009.738831,24.688896
"178","25","1652","7",347826.09375,39.792477,1009.816711,24.596701
"179","25","1652","8",390243.90625,39.90308,1009.792419,24.397661
"180","25","1652","9",408212.09375,39.993568,1009.793945,24.219072
"181","25","1660","0",61695456,39.309856,1009.798279,24.095182
"182","25","1660","1",5437769.5,38.344624,1009.829224,24.505028
"183","25","1660","2",477946.3125,38.606041,1009.797974,24.563604
"184","25","1660","3",379610.75,39.176636,1009.803101,24.690315
"185","25","1660","4",313054.125,39.219368,1009.79657,24.611708
"186","25","1660","5",276085.1875,39.259586,1009.757263,24.532936
"187","25","1660","6",134559.796875,39.417946,1009.748779,24.550829
"188","25","1660","7",346414.0625,39.875431,1009.790161,24.450134
"189","25","1660","8",394073.5,39.996086,1009.831848,24.257475
"190","25","1660","9",408700.84375,40.053902,1009.790771,24.09828
"191","25","1664","0",69774824,39.629093,1009.843933,24.027264
"192","25","1664","1",5316028.5,38.392384,1009.827332,24.437927
"193","25","1664","2",474623.40625,38.658825,1009.788208,24.48048
"194","25","1664","3",378348.40625,39.244503,1009.769897,24.61915
"195","25","1664","4",313629.40625,39.299801,1009.7677,24.459648
"196","25","1664","5",275639.3125,39.32494,1009.766174,24.450699
"197","25","1664","6",134453.78125,39.480785,1009.737488,24.4629
"198","25","1664","7",346414.0625,39.930729,1009.805542,24.35066
"199","25","1664","8",394757.125,40.031277,1009.810913,24.20018
"200","25","1664","9",410667.75,40.099144,1009.800354,24.02
"201","25","1672","0",63719980,39.433025,1009.821411,23.908772
"202","25","1672","1",5582283,38.447685,1009.835938,24.34421
"203","25","1672","2",492426.0625,38.714127,1009.775513,24.408484
"204","25","1672","3",384745.4375,39.27718,1009.745056,24.517931
"205","25","1672","4",318903.78125,39.345051,1009.766785,24.463192
"206","25","1672","5",280164.15625,39.382755,1009.758972,24.378815
"207","25","1672","6",135521.4375,39.541115,1009.759338,24.380266
"208","25","1672","7",351045.59375,39.991058,1009.816467,24.295301
"209","25","1672","8",394529,40.086575,1009.788879,24.122635
"210","25","1672","9",414155.71875,40.187126,1009.806763,23.781662
"211","25","1676","0",63766480,39.493355,1009.823669,23.848146
"212","25","1676","1",5616729.5,38.558281,1009.828186,24.26025
"213","25","1676","2",492781.53125,38.822212,1009.749268,24.329714
"214","25","1676","3",388246.4375,39.382755,1009.746521,24.433388
"215","25","1676","4",321003.125,39.448109,1009.780212,24.356632
"216","25","1676","5",282951.09375,39.460674,1009.750854,24.281244
"217","25","1676","6",134559.796875,39.629093,1009.767639,24.272535
"218","25","1676","7",349607.375,40.074009,1009.789917,24.198044
"219","25","1676","8",399142.46875,40.184608,1009.818481,23.99935
"220","25","1676","9",414155.71875,40.265049,1009.807251,23.847544
"221","25","1684","0",66181268,39.573792,1009.830261,23.745588
"222","25","1684","1",5710700.5,38.575874,1009.798279,24.18
"223","25","1684","2",498175.625,38.839806,1009.751282,24.238495
"224","25","1684","3",391811.75,39.445595,1009.767273,24.367353
