"","sensorId","cycle_id","cycle_step_id","resistancy_of_sensor","temperature","pressure","relative_humidity"
"1","25","1557","0",47888928,36.218132,1003.726685,28.424341
"2","25","1557","1",2459321.5,35.257957,1003.66394,28.875553
"3","25","1557","2",268695.875,35.519363,1003.604065,28.915373
"4","25","1557","3",222899.4375,36.099995,1003.640625,29.073154
"5","25","1557","4",195345.28125,36.162834,1003.66864,29.022772
"6","25","1557","5",168255.015625,36.208076,1003.655518,28.909288
"7","25","1557","6",112035.007812,36.358891,1003.626831,28.911488
"8","25","1557","7",308526.65625,36.821388,1003.633911,28.812656
"9","25","1557","8",343278.59375,36.94455,1003.651794,28.577471
"10","25","1557","9",356173.90625,37.012417,1003.673523,28.371187
"11","25","1565","0",50852376,36.351349,1003.72937,28.096189
"12","25","1565","1",2452694.5,35.383633,1003.656677,28.691345
"13","25","1565","2",266181.4375,35.657608,1003.588989,28.737728
"14","25","1565","3",219884.046875,36.233212,1003.662781,28.900328
"15","25","1565","4",193463.0625,36.298561,1003.685974,28.827829
"16","25","1565","5",167101.828125,36.343807,1003.679993,28.725628
"17","25","1565","6",112700.859375,36.502159,1003.649292,28.73962
"18","25","1565","7",312195.125,36.972198,1003.677185,28.691744
"19","25","1565","8",349607.375,37.070229,1003.689575,28.420933
"20","25","1565","9",365322.875,37.155693,1003.693726,28.182873
"21","25","1569","0",52095388,36.487083,1003.716797,28.091265
"22","25","1569","1",2446103.25,35.584717,1003.64679,28.513872
"23","25","1569","2",264941.78125,35.856178,1003.616882,28.582224
"24","25","1569","3",219601.109375,36.459435,1003.648804,28.735842
"25","25","1569","4",192264.359375,36.527298,1003.649353,28.630074
"26","25","1569","5",167758.84375,36.549919,1003.652649,28.559456
"27","25","1569","6",113450.03125,36.700737,1003.627258,28.516888
"28","25","1569","7",320100.03125,37.163231,1003.670593,28.41794
"29","25","1569","8",353957.84375,37.253719,1003.672424,28.124519
"30","25","1569","9",366106.53125,37.339184,1003.653809,27.975908
"31","25","1577","0",53861516,36.685654,1003.721069,27.835909
"32","25","1577","1",2437369.75,35.783287,1003.632629,28.269476
"33","25","1577","2",264736.3125,36.039665,1003.598938,28.336315
"34","25","1577","3",222029.484375,36.640408,1003.642273,28.483669
"35","25","1577","4",186453.015625,36.705761,1003.645935,28.38895
"36","25","1577","5",166775.25,36.745979,1003.670532,28.258619
"37","25","1577","6",113752.5,36.911873,1003.672852,28.273115
"38","25","1577","7",320701.53125,37.379402,1003.667664,28.157791
"39","25","1577","8",355802.65625,37.505081,1003.661011,27.945751
"40","25","1577","9",376678.3125,37.588028,1003.67688,27.735786
"41","25","1581","0",55787188,36.916901,1003.723572,27.589151
"42","25","1581","1",2435196.25,35.974316,1003.694214,27.969097
"43","25","1581","2",262901.15625,36.233212,1003.666199,28.09152
"44","25","1581","3",219884.046875,36.808815,1003.708862,28.22508
"45","25","1581","4",185843.921875,36.861603,1003.736389,28.123798
"46","25","1581","5",166287.75,36.914391,1003.700134,28.044847
"47","25","1581","6",114515.765625,37.07777,1003.719482,28.036758
"48","25","1581","7",325285.90625,37.552837,1003.681763,27.944326
"49","25","1581","8",360309.65625,37.688572,1003.702026,27.722212
"50","25","1581","9",381733.46875,37.786602,1003.690979,27.391516
"51","25","1589","0",54738776,37.100395,1003.768555,27.388439
"52","25","1589","1",2428698.5,36.172886,1003.690186,27.78627
"53","25","1589","2",261491.3125,36.446861,1003.676086,27.843132
"54","25","1589","3",219601.109375,37.03001,1003.707397,27.971357
"55","25","1589","4",185843.921875,37.095364,1003.700317,27.887966
"56","25","1589","5",165481.578125,37.170773,1003.712952,27.78322
"57","25","1589","6",113752.5,37.324104,1003.661011,27.790888
"58","25","1589","7",326843.28125,37.789116,1003.661316,27.680803
"59","25","1589","8",362991.84375,37.907257,1003.670593,27.440729
"60","25","1589","9",383018.5,37.990204,1003.674133,27.175755
"61","25","1593","0",52064348,37.268803,1003.760681,27.114582
"62","25","1593","1",2369684.75,36.424244,1003.727661,27.519344
"63","25","1593","2",260891.71875,36.693195,1003.676758,27.54228
"64","25","1593","3",216261.875,37.2864,1003.734375,27.704216
"65","25","1593","4",183053.265625,37.33667,1003.693909,27.62516
"66","25","1593","5",163892.453125,37.384426,1003.711121,27.501486
"67","25","1593","6",113299.40625,37.537758,1003.673157,27.492403
"68","25","1593","7",325907.0625,38.027908,1003.678467,27.3955
"69","25","1593","8",363378.28125,38.146049,1003.691162,27.200117
"70","25","1593","9",383880.03125,38.249107,1003.69519,26.920485
