"","sensorId","cycle_id","cycle_step_id","resistancy_of_sensor","temperature","pressure","relative_humidity"
"1","1","21","0",3277455.5,31.311798,994.912231,48.844086
"2","1","21","1",743375.6875,30.570343,994.862549,49.774857
"3","1","21","2",97393.953125,30.831738,994.817139,49.8223
"4","1","21","3",70445.789062,31.437469,994.870605,50.332283
"5","1","21","4",59163.394531,31.548061,994.886719,50.410404
"6","1","21","5",52925.367188,31.641058,994.876099,50.359833
"7","1","21","6",32938.753906,31.804432,994.85144,50.375652
"8","1","21","7",55615.902344,32.302094,994.850037,50.209404
"9","1","21","8",60122.125,32.467979,994.851868,49.865761
"10","1","21","9",62775.871094,32.593651,994.833862,49.504612
"11","1","25","0",1934813.375,31.859726,994.916443,49.318241
"12","1","25","1",335188.21875,31.178589,994.859192,50.032478
"13","1","25","2",56128.042969,31.442499,994.855835,50.112106
"14","1","25","3",48365.765625,32.053261,994.852783,50.251453
"15","1","25","4",43611.585938,32.163853,994.852783,50.02021
"16","1","25","5",41612.484375,32.241768,994.866516,49.765888
"17","1","25","6",30317.384766,32.407658,994.841919,49.77565
"18","1","25","7",57840.035156,32.895271,994.863464,49.469643
"19","1","25","8",63194.273438,33.051105,994.865967,48.974796
"20","1","25","9",66441.734375,33.186832,994.878113,48.547363
"21","1","34","0",2575290.75,32.55595,994.906433,48.363567
"22","1","34","1",398211.15625,31.75919,994.932495,48.922043
"23","1","34","2",63334.984375,32.025612,994.865662,49.01384
"24","1","34","3",53691.273438,32.631355,994.872192,49.044327
"25","1","34","4",48752.617188,32.739433,994.883728,48.826481
"26","1","34","5",44802.238281,32.817352,994.87793,48.573494
"27","1","34","6",33324.65625,32.970673,994.852173,48.562504
"28","1","34","7",62181.199219,33.465828,994.88092,48.246094
"29","1","34","8",66441.734375,33.621662,994.898987,47.7789
"30","1","34","9",69077.171875,33.747337,994.898193,47.364845
"31","1","38","0",2779776,33.108913,994.934875,47.169506
"32","1","38","1",414910.84375,32.307121,994.905762,47.718945
"33","1","38","2",65523.417969,32.56852,994.851257,47.79673
"34","1","38","3",54829.726562,33.169235,994.890137,47.856781
"35","1","38","4",48976.46875,33.272289,994.898499,47.589466
"36","1","38","5",44614.847656,33.345177,994.888184,47.418205
"37","1","38","6",34343.976562,33.51107,994.903076,47.396267
"38","1","38","7",64289.300781,34.003716,994.912842,47.111763
"39","1","38","8",68467.507812,34.152008,994.893738,46.658348
"40","1","38","9",70387.679688,34.270145,994.883728,46.239182
"41","1","46","0",2885523,33.631718,994.948669,46.03957
"42","1","46","1",407724.46875,32.827404,994.906555,46.648697
"43","1","46","2",64630.144531,33.086292,994.886169,46.81855
"44","1","46","3",54271.78125,33.681984,994.897949,46.808666
"45","1","46","4",48586.070312,33.797607,994.940613,46.593842
"46","1","46","5",44107.511719,33.875526,994.945068,46.337143
"47","1","46","6",34622.667969,34.026333,994.896545,46.331776
"48","1","46","7",66081.570312,34.529034,994.900208,46.049397
"49","1","46","8",70041.039062,34.662254,994.868958,45.620899
"50","1","46","9",72603.515625,34.77536,994.861023,45.196873
"51","1","50","0",2967041,34.139442,994.980774,45.005539
"52","1","50","1",406995.21875,33.317532,994.957703,45.622704
"53","1","50","2",65173.117188,33.571392,994.900452,45.704296
"54","1","50","3",54237.289062,34.174629,994.924927,45.830635
"55","1","50","4",48283.667969,34.280197,994.914124,45.584518
"56","1","50","5",43790.625,34.355602,994.926697,45.347172
"57","1","50","6",35135.878906,34.518982,994.894653,45.349407
"58","1","50","7",67386.15625,34.994038,994.919678,45.082771
"59","1","50","8",71688.601562,35.149876,994.933044,44.585148
"60","1","50","9",73732.71875,35.260471,994.922852,44.205769
"61","1","58","0",3120167.5,34.617008,994.943726,44.076473
"62","1","58","1",404104.1875,33.787552,994.975342,44.727684
"63","1","58","2",65173.117188,34.041416,994.901489,44.802505
"64","1","58","3",54271.78125,34.649681,994.918884,44.903652
"65","1","58","4",48256.363281,34.750225,994.933167,44.707085
"66","1","58","5",43835.617188,34.813061,994.916626,44.462944
"67","1","58","6",35664.53125,34.97393,994.897766,44.464676
"68","1","58","7",68357.8125,35.466579,994.950195,44.194729
"69","1","58","8",72789.3125,35.609852,994.941284,43.752621
"70","1","58","9",74963.398438,35.720448,994.960815,43.392982
"71","1","62","0",3279423.5,35.071953,994.974915,43.2337
"72","1","62","1",407238.03125,34.217361,994.946411,43.873878
"73","1","62","2",65422.949219,34.493843,994.926147,43.957054
"74","1","62","3",54237.289062,35.084522,994.933472,44.06723
"75","1","62","4",47931.097656,35.19009,994.964539,43.85973
"76","1","62","5",43790.625,35.25293,994.958313,43.63488
"77","1","62","6",35904.628906,35.411282,994.952698,43.62389
"78","1","62","7",69926.25,35.898907,994.973267,43.390587
"79","1","62","8",74052.648438,36.039665,994.977539,42.961941
"80","1","62","9",75762.0625,36.142723,994.965393,42.59655
"81","1","70","0",2520615.5,35.28812,994.979736,42.38929
"82","1","70","1",351045.59375,34.632088,994.927551,43.106659
"83","1","70","2",59245.546875,34.898521,994.916992,43.20023
"84","1","70","3",49573.972656,35.499256,994.949951,43.298458
"85","1","70","4",43567.050781,35.599796,994.974426,43.091003
"86","1","70","5",40699.523438,35.670174,994.978516,42.861759
"87","1","70","6",34206.308594,35.826015,994.945679,42.880836
"88","1","70","7",69584.125,36.306103,994.963745,42.622604
"89","1","70","8",73860.359375,36.451893,994.967163,42.22644
"90","1","70","9",76646.703125,36.565002,994.984985,41.851326
"91","1","74","0",3299234.75,35.903938,995.041382,41.68697
"92","1","74","1",409927.9375,35.026711,994.975891,42.424496
"93","1","74","2",66184.078125,35.295662,994.928406,42.450966
"94","1","74","3",54271.78125,35.901421,994.998474,42.597576
"95","1","74","4",48039.03125,35.991909,994.985291,42.365185
"96","1","74","5",43434,36.049721,994.999207,42.177681
"97","1","74","6",36363.636719,36.21059,994.97583,42.148544
"98","1","74","7",71508.382812,36.688164,994.966003,41.914761
"99","1","74","8",75294.117188,36.828926,994.948792,41.513157
"100","1","74","9",77906.265625,36.937008,994.945984,41.1689
"101","1","82","0",3370500,36.285995,995.042542,41.000847
"102","1","82","1",408700.84375,35.40374,994.993591,41.675568
"103","1","82","2",65928.40625,35.667664,994.967468,41.791912
"104","1","82","3",54375.53125,36.268402,994.99823,41.912647
"105","1","82","4",46766.53125,36.361401,994.99469,41.723682
"106","1","82","5",43611.585938,36.42173,994.969971,41.500687
"107","1","82","6",36456.851562,36.580082,994.95282,41.489372
"108","1","82","7",72357.265625,37.070229,994.955383,41.257423
"109","1","82","8",76032.078125,37.195908,994.959595,40.86726
"110","1","82","9",78191.8125,37.303993,995.000732,40.415482
"111","1","86","0",3305225,36.610245,995.045532,40.364063
"112","1","86","1",408945.6875,35.75312,994.995789,41.076572
"113","1","86","2",66081.570312,36.017044,994.948242,41.168205
"114","1","86","3",54971.011719,36.617786,994.988831,41.282028
"115","1","86","4",48393.195312,36.705761,994.997925,41.092972
"116","1","86","5",43790.625,36.761059,995.005859,40.894161
"117","1","86","6",36613.273438,36.916901,994.942017,40.713451
"118","1","86","7",72541.796875,37.399509,994.96344,40.63179
"119","1","86","8",76372.3125,37.530216,994.968445,40.225246
"120","1","86","9",78914.921875,37.638298,994.968872,39.931049
"121","1","94","0",3425465.25,36.984768,995.036987,39.776848
"122","1","94","1",409681.9375,36.079884,995.017639,40.500458
"123","1","94","2",66701.40625,36.351349,994.990784,40.713013
"124","1","94","3",55220.015625,36.952091,994.988037,40.675392
"125","1","94","4",48475.667969,37.037552,994.987732,40.546803
"126","1","94","5",43700.921875,37.09034,994.994812,40.324093
"127","1","94","6",36962.171875,37.246178,994.975037,40.324337
"128","1","94","7",73289.4375,37.733818,995.003967,40.074574
"129","1","94","8",77271.351562,37.854469,994.994446,39.691879
"130","1","94","9",79207.921875,37.952499,994.990906,39.361225
"131","1","98","0",3486699.25,37.293938,995.0271,39.219372
"132","1","98","1",411162.40625,36.399105,995.051697,39.960857
"133","1","98","2",66963.117188,36.660515,994.987,40.051304
"134","1","98","3",55471.289062,37.261261,995.000916,40.15155
"135","1","98","4",48808.390625,37.33667,994.982727,39.973957
"136","1","98","5",43971.144531,37.396996,995.009033,39.770737
"137","1","98","6",36866.359375,37.555351,994.975281,39.795177
"138","1","98","7",73796.484375,38.030422,995.002869,39.544228
"139","1","98","8",78120.234375,38.161129,995.018127,39.181572
"140","1","98","9",80326.328125,38.269218,995.039612,38.846848
"141","1","106","0",3495626.25,37.598083,995.065369,38.686501
"142","1","106","1",410914.9375,36.68314,995.009277,39.436356
"143","1","106","2",67173.96875,36.964661,994.981628,39.540672
"144","1","106","3",55363.320312,37.550323,994.977783,39.638489
"145","1","106","4",48864.285156,37.640816,994.999512,39.457043
"146","1","106","5",44107.511719,37.698627,995.02356,39.265976
"147","1","106","6",36866.359375,37.851955,995.008118,39.265701
"148","1","106","7",74310.59375,38.334572,995.02771,39.015919
"149","1","106","8",78407.351562,38.457737,995.036011,38.689098
"150","1","106","9",80100.125,38.550743,995.027527,38.371284
"151","1","110","0",2855350.25,37.713707,995.068909,38.1157
"152","1","110","1",366893.59375,36.972198,995.038086,38.991207
"153","1","110","2",63382.023438,37.236126,994.983582,39.087135
"154","1","110","3",52341.035156,37.836876,995.044067,39.16814
"155","1","110","4",45714.285156,37.917309,995.042297,38.985893
"156","1","110","5",42105.261719,37.962555,995.024658,38.751961
"157","1","110","6",35784.175781,38.115883,995.021667,38.799381
"158","1","110","7",73352.4375,38.601013,995.023438,38.585968
"159","1","110","8",79207.921875,38.724182,995.017334,38.22398
"160","1","110","9",80025.007812,38.819698,995.021851,37.90712
"161","1","118","0",2897771.5,37.97261,995.064026,37.722813
"162","1","118","1",380245.09375,37.228584,995.029846,38.54314
"163","1","118","2",63665.753906,37.492512,994.989258,38.614826
"164","1","118","3",52991.097656,38.095776,995.033569,38.725376
"165","1","118","4",45960.503906,38.173698,995.03656,38.537216
"166","1","118","5",42823.6875,38.226482,995.050598,38.358292
"167","1","118","6",35904.628906,38.382328,995.015808,38.364067
"168","1","118","7",73542.085938,38.859917,995.017273,38.114185
"169","1","118","8",78191.8125,38.990623,995.049744,37.771652
"170","1","118","9",80175.382812,39.076088,995.022156,37.478062
"171","1","122","0",2931997.25,38.264187,995.080994,37.215672
"172","1","122","1",388025.78125,37.467377,995.040894,38.123661
"173","1","122","2",64925.183594,37.748898,995.031799,38.220829
"174","1","122","3",53928.796875,38.344624,995.068665,38.318043
"175","1","122","4",46766.53125,38.427574,995.077881,38.130779
"176","1","122","5",43126.683594,38.472816,995.074341,37.951332
"177","1","122","6",36270.898438,38.628662,995.023499,37.951046
"178","1","122","7",74700.90625,39.106255,995.024536,37.713272
"179","1","122","8",78914.921875,39.229424,995.014587,37.376434
"180","1","122","9",81476.765625,39.31237,995.01825,37.071232
"181","1","130","0",3252084.25,38.558281,995.085815,36.904919
"182","1","130","1",402674,37.716225,995.053589,37.60519
"183","1","130","2",66753.585938,37.980152,995.01593,37.806797
"184","1","130","3",55184.308594,38.583416,995.065979,37.904289
"185","1","130","4",48752.617188,38.653801,995.067322,37.733791
"186","1","130","5",44061.960938,38.699043,995.053162,37.560604
"187","1","130","6",37026.324219,38.849861,995.013489,37.565605
