"","sensorId","cycle_id","cycle_step_id","resistancy_of_sensor","temperature","pressure","relative_humidity"
"1","25","1521","0",53076332,35.142334,1006.634888,29.547703
"2","25","1521","1",5459513.5,34.378227,1006.670593,29.776138
"3","25","1521","2",469724.78125,34.642143,1006.627808,29.856022
"4","25","1521","3",380033.40625,35.242874,1006.63147,29.983515
"5","25","1521","4",325596.1875,35.318279,1006.602722,29.984751
"6","25","1521","5",288450.71875,35.363525,1006.625427,29.556374
"7","25","1521","6",125736.742188,35.514336,1006.615601,29.980106
"8","25","1521","7",323436.5,35.97683,1006.621399,29.611683
"9","25","1521","8",367684.03125,36.107536,1006.638428,29.348415
"10","25","1521","9",397284.1875,36.198021,1006.63208,29.081886
"11","25","1530","0",65981376,35.541985,1006.664246,28.939718
"12","25","1530","1",6023529.5,34.619522,1006.664734,29.372149
"13","25","1530","2",496364.53125,34.885956,1006.618469,29.379116
"14","25","1530","3",397053.125,35.479149,1006.621704,29.527508
"15","25","1530","4",331928.6875,35.562096,1006.622925,29.450846
"16","25","1530","5",296725.59375,35.619907,1006.630676,29.355133
"17","25","1530","6",132883.46875,35.778259,1006.631226,29.380539
"18","25","1530","7",341903.1875,36.228184,1006.631775,29.207838
"19","25","1530","8",388467.375,36.348835,1006.658752,28.972153
"20","25","1530","9",415668.75,36.446861,1006.657654,28.7012
"21","25","1534","0",70054520,35.778259,1006.694824,28.586546
"22","25","1534","1",6240335,34.878414,1006.643127,28.976044
"23","25","1534","2",498175.625,35.137306,1006.60199,29.032417
"24","25","1534","3",398676.28125,35.70034,1006.622498,29.160698
"25","25","1534","4",337174.84375,35.788311,1006.649292,29.101374
"26","25","1534","5",296210.59375,35.805908,1006.633789,29.226107
"27","25","1534","6",135199.359375,35.961746,1006.617798,28.971329
"28","25","1534","7",356173.90625,36.42173,1006.653992,28.844339
"29","25","1534","8",409436.21875,36.527298,1006.649048,28.624487
"30","25","1534","9",426311.40625,36.602703,1006.667725,28.368767
"31","25","1542","0",74156720,35.939125,1006.667542,28.244055
"32","25","1542","1",6308818,34.999062,1006.660339,28.774687
"33","25","1542","2",507056.1875,35.273037,1006.608337,28.709522
"34","25","1542","3",401253.90625,35.846123,1006.632324,28.871637
"35","25","1542","4",336178.59375,35.911476,1006.634766,28.782431
"36","25","1542","5",298020.96875,35.951694,1006.62085,28.679888
"37","25","1542","6",137708.453125,36.102505,1006.621216,28.676418
"38","25","1542","7",363378.28125,36.575054,1006.6474,28.600767
"39","25","1542","8",415922,36.705761,1006.642883,28.38895
"40","25","1542","9",434450.5625,36.798763,1006.631592,28.168478
"41","25","1546","0",76560744,36.135185,1006.676147,28.149782
"42","25","1546","1",6345468.5,35.227791,1006.665039,28.449339
"43","25","1546","2",510468.59375,35.489201,1006.599182,28.505527
"44","25","1546","3",403865.125,36.069832,1006.6474,28.651209
"45","25","1546","4",338177,36.132668,1006.635193,28.852276
"46","25","1546","5",296725.59375,36.170372,1006.632935,28.470339
"47","25","1546","6",137931.03125,36.328728,1006.619019,28.484215
"48","25","1546","7",367684.03125,36.778656,1006.646606,28.283772
"49","25","1546","8",422616.59375,36.904335,1006.649902,28.088526
"50","25","1546","9",446090.1875,36.974712,1006.640503,27.88866
"51","25","1554","0",78415792,36.308617,1006.68512,27.770172
"52","25","1554","1",6367664,35.368553,1006.628357,28.139063
"53","25","1554","2",508946.3125,35.640015,1006.603516,28.223673
"54","25","1554","3",406268.59375,36.230698,1006.623596,28.347404
"55","25","1554","4",340878.84375,36.298561,1006.661621,28.247477
"56","25","1554","5",299590.40625,36.343807,1006.655823,28.167891
"57","25","1554","6",138490.671875,36.502159,1006.638245,28.148241
"58","25","1554","7",368477.875,36.99482,1006.630859,28.062971
"59","25","1554","8",424192.21875,37.143124,1006.665222,27.858713
"60","25","1554","9",441474.46875,37.22607,1006.656982,27.654556
"61","25","1558","0",80511056,36.559975,1006.711121,27.320362
"62","25","1558","1",6363954,35.587227,1006.633911,27.924707
"63","25","1558","2",510087.1875,35.858692,1006.606995,27.981356
"64","25","1558","3",400547.625,36.439323,1006.670105,28.109386
"65","25","1558","4",333224.875,36.502159,1006.675354,28.003551
"66","25","1558","5",295185.9375,36.537354,1006.681458,27.900948
"67","25","1558","6",139509.53125,36.698219,1006.671143,27.909267
"68","25","1558","7",380033.40625,37.170773,1006.662476,27.827719
"69","25","1558","8",431430.375,37.293938,1006.656006,27.615932
"70","25","1558","9",451698.28125,37.384426,1006.629822,27.423763
"71","25","1566","0",80289128,36.71833,1006.72168,27.317173
"72","25","1566","1",6454205,35.75312,1006.678406,27.728163
"73","25","1566","2",509326.03125,36.012016,1006.62561,27.750296
"74","25","1566","3",404823.09375,36.58511,1006.663635,27.860596
"75","25","1566","4",337174.84375,36.658005,1006.687012,27.79463
"76","25","1566","5",293662.1875,36.678112,1006.696838,27.690828
"77","25","1566","6",139623.671875,36.833954,1006.666077,27.887619
"78","25","1566","7",386050.90625,37.298965,1006.660706,27.566364
"79","25","1566","8",437233.125,37.417107,1006.624756,27.376608
"80","25","1566","9",455617.34375,37.515133,1006.623108,27.213024
"81","25","1570","0",81184264,36.861603,1006.7146,27.085749
"82","25","1570","1",6438986,35.934097,1006.653992,27.516426
"83","25","1570","2",508567.15625,36.195507,1006.62793,27.571903
"84","25","1570","3",406026.96875,36.771114,1006.671631,27.709913
"85","25","1570","4",335517.6875,36.836464,1006.664734,27.598919
"86","25","1570","5",295697.375,36.871658,1006.667297,27.52424
"87","25","1570","6",139623.671875,37.0275,1006.639832,27.526463
"88","25","1570","7",385179.625,37.48497,1006.609436,27.421253
"89","25","1570","8",436953.28125,37.608135,1006.653992,27.187653
"90","25","1570","9",458987,37.665951,1006.639954,26.982029
"91","25","1578","0",77305808,36.919415,1006.700867,26.858467
"92","25","1578","1",6131736.5,36.064804,1006.66925,27.289547
"93","25","1578","2",491716.6875,36.331242,1006.644226,27.356342
"94","25","1578","3",396361.53125,36.934498,1006.668884,27.501869
"95","25","1578","4",333876.75,36.987282,1006.643188,27.40653
"96","25","1578","5",291405.8125,37.032524,1006.66925,27.305056
"97","25","1578","6",137486.578125,37.195908,1006.655701,27.318945
"98","25","1578","7",385614.75,37.655895,1006.634338,27.202801
"99","25","1578","8",440335.40625,37.786602,1006.650452,26.992208
"100","25","1578","9",458987,37.864525,1006.663757,26.821642
"101","25","1582","0",81487096,37.198421,1006.712891,26.688526
