"","sensorId","cycle_id","cycle_step_id","resistancy_of_sensor","temperature","pressure","relative_humidity"
"1","9","675","0",58319020,35.541985,991.746155,30.710251
"2","9","675","1",10195395,34.750225,991.708557,31.015417
"3","9","675","2",675684.5625,35.031738,991.67157,31.092682
"4","9","675","3",516259.125,35.627445,991.707153,31.182667
"5","9","675","4",436953.28125,35.722961,991.694641,31.01021
"6","9","675","5",383664.28125,35.795853,991.714722,30.909384
"7","9","675","6",136825.234375,35.949181,991.691162,30.878428
"8","9","675","7",321608.03125,36.429268,991.720703,30.600527
"9","9","675","8",365322.875,36.580082,991.720825,30.2922
"10","9","675","9",393392.25,36.680626,991.696594,30.08127
"11","9","683","0",73905832,36.258347,991.75708,29.980484
"12","9","683","1",10369620,35.157417,991.699219,30.313465
"13","9","683","2",685867.375,35.428875,991.661316,30.372246
"14","9","683","3",517041.15625,36.037155,991.710754,30.473598
"15","9","683","4",435281.625,36.130154,991.701233,30.312754
"16","9","683","5",382374.90625,36.190483,991.704529,30.182867
"17","9","683","6",142420.03125,36.356377,991.720154,30.17557
"18","9","683","7",341903.1875,36.849037,991.693115,30.017756
"19","9","683","8",392487.53125,36.99482,991.704285,29.743565
"20","9","683","9",414155.71875,37.095364,991.70282,29.465626
"21","9","687","0",73163272,36.426754,991.759033,29.326607
"22","9","687","1",10875539,35.514336,991.721252,29.710285
"23","9","687","2",699214.75,35.788311,991.671021,29.751953
"24","9","687","3",527020.0625,36.38905,991.719666,29.874138
"25","9","687","4",438356.15625,36.479542,991.721924,29.730379
"26","9","687","5",387145.5625,36.537354,991.729919,29.595001
"27","9","687","6",146077.03125,36.700737,991.702454,29.598572
"28","9","687","7",352860.09375,37.195908,991.689148,29.452238
"29","9","687","8",405303.78125,37.329128,991.687073,29.183231
"30","9","687","9",428720.96875,37.427158,991.713318,28.950689
"31","9","695","0",62713876,36.52227,991.748108,28.791725
"32","9","695","1",9470520,35.858692,991.720581,29.253233
"33","9","695","2",634841.9375,36.117588,991.672241,29.382973
"34","9","695","3",492426.0625,36.723354,991.675232,29.415102
"35","9","695","4",412903.21875,36.808815,991.699097,29.293625
"36","9","695","5",360309.65625,36.861603,991.711487,29.135614
"37","9","695","6",141475.546875,37.0275,991.677185,29.262783
"38","9","695","7",356173.90625,37.49754,991.682861,28.990648
"39","9","695","8",411658.28125,37.635788,991.69574,28.739464
"40","9","695","9",433347.4375,37.738846,991.721252,28.491055
"41","9","699","0",78345488,37.07777,991.731201,28.343433
"42","9","699","1",10951872,36.170372,991.718201,28.715904
"43","9","699","2",700650,36.444351,991.690063,28.823975
"44","9","699","3",522582.28125,37.057663,991.691956,28.979334
"45","9","699","4",433622.6875,37.150665,991.696045,28.853142
"46","9","699","5",378348.40625,37.203449,991.702881,28.701046
"47","9","699","6",147211.046875,37.371861,991.695435,28.727198
"48","9","699","7",364153.625,37.856983,991.69812,28.602274
"49","9","699","8",419500.21875,37.985176,991.72644,28.339401
"50","9","699","9",444058.96875,38.080696,991.711365,28.101921
"51","9","707","0",80808880,37.412075,991.738708,27.976669
"52","9","707","1",10747130,36.507191,991.748596,28.371567
"53","9","707","2",696361.8125,36.773628,991.66394,28.450708
"54","9","707","3",522182.5625,37.379402,991.703979,28.54878
"55","9","707","4",431976.375,37.457321,991.697937,28.449423
"56","9","707","5",376055.8125,37.510109,991.690613,28.308784
"57","9","707","6",148750.71875,37.670979,991.700867,28.250296
"58","9","707","7",367684.03125,38.153587,991.707764,28.253592
"59","9","707","8",426844.53125,38.27927,991.716064,27.907169
"60","9","707","9",446673.9375,38.382328,991.743042,27.681965
"61","9","711","0",81945608,37.670979,991.759338,27.548277
"62","9","711","1",10621718,36.783684,991.695984,28.000107
"63","9","711","2",690725.125,37.067715,991.665588,28.074875
"64","9","711","3",514314.40625,37.665951,991.719299,28.166115
"65","9","711","4",429800.625,37.751411,991.718262,28.067554
"66","9","711","5",367684.03125,37.806709,991.723877,27.955257
"67","9","711","6",148362.796875,37.957527,991.687622,27.728752
"68","9","711","7",379189.03125,38.450195,991.72052,27.804913
"69","9","711","8",428451.875,38.58593,991.75708,27.638304
"70","9","711","9",453498.65625,38.686478,991.739197,27.357464
"71","9","719","0",83273192,38.015343,991.75177,27.255585
"72","9","719","1",10853925,37.105419,991.718933,27.644192
"73","9","719","2",678370.3125,37.374374,991.683472,27.784105
"74","9","719","3",508567.15625,37.957527,991.707031,27.951658
"75","9","719","4",423665.6875,38.030422,991.724792,27.729492
"76","9","719","5",362606.21875,38.075668,991.729797,27.599789
