"","sensorId","cycle_id","cycle_step_id","resistancy_of_sensor","temperature","pressure","relative_humidity"
"1","1","46","0",28382850,34.74017,991.709961,37.265942
"2","1","46","1",3962273.25,34.038902,991.68512,37.708054
"3","1","46","2",320400.5,34.312874,991.673889,37.773422
"4","1","46","3",246213.03125,34.92617,991.64801,37.882168
"5","1","46","4",210008.203125,35.036766,991.651489,37.687531
"6","1","46","5",184040.265625,35.107143,991.653564,37.482758
"7","1","46","6",87761.398438,35.268013,991.642456,37.494465
"8","1","46","7",223629.609375,35.768204,991.679199,37.271919
"9","1","46","8",251473.484375,35.916504,991.661621,36.905064
"10","1","46","9",264121.75,36.029613,991.67218,36.570312
"11","1","50","0",34285116,35.381119,991.700867,36.424343
"12","1","50","1",4464305,34.549141,991.691467,36.8279
"13","1","50","2",346062.84375,34.810551,991.629456,36.92065
"14","1","50","3",260891.71875,35.418823,991.655701,37.03352
"15","1","50","4",221023.09375,35.524391,991.663086,36.856686
"16","1","50","5",195457.140625,35.60231,991.663208,36.688755
"17","1","50","6",91135.632812,35.768204,991.675659,36.671394
"18","1","50","7",228877.96875,36.253319,991.674744,36.459301
"19","1","50","8",256192.140625,36.409161,991.700684,36.176682
"20","1","50","9",271690.09375,36.529812,991.698425,35.808708
"21","1","58","0",35281832,35.871258,991.719482,35.645432
"22","1","58","1",4504811.5,35.031738,991.673279,36.08847
"23","1","58","2",347826.09375,35.298172,991.625671,36.128452
"24","1","58","3",263917.53125,35.91399,991.698242,36.287868
"25","1","58","4",223483.1875,36.004478,991.682861,36.092407
"26","1","58","5",195681.25,36.079884,991.69458,35.942326
"27","1","58","6",91428.570312,36.235725,991.674805,35.941341
"28","1","58","7",231203.4375,36.735924,991.677612,35.725258
"29","1","58","8",261291.140625,36.889252,991.692139,35.3965
"30","1","58","9",272340.4375,36.999851,991.68573,35.087101
"31","1","62","0",35802240,36.341293,991.743713,34.913494
"32","1","62","1",4512255.5,35.484173,991.716675,35.412228
"33","1","62","2",353225.25,35.75061,991.675781,35.521812
"34","1","62","3",264121.75,36.361401,991.726624,35.58617
"35","1","62","4",223483.1875,36.461945,991.711365,35.444904
"36","1","62","5",197150.5625,36.524784,991.683167,35.212257
"37","1","62","6",91135.632812,36.688164,991.645142,35.270237
"38","1","62","7",235186.03125,37.183342,991.668884,35.059673
"39","1","62","8",263306.75,37.319073,991.685059,34.724205
"40","1","62","9",276085.1875,37.427158,991.654968,34.44455
"41","1","70","0",36489976,36.776142,991.708679,34.278736
"42","1","70","1",4534735.5,35.916504,991.691589,34.776432
"43","1","70","2",355062.40625,36.187965,991.668884,34.845226
"44","1","70","3",266597.25,36.788708,991.6828,34.948452
"45","1","70","4",225699.796875,36.889252,991.67804,34.790081
"46","1","70","5",198989.5,36.952091,991.69928,34.627903
"47","1","70","6",91038.40625,37.115475,991.667847,34.627399
"48","1","70","7",236653.578125,37.610649,991.708679,34.457729
"49","1","70","8",265353.71875,37.748898,991.712585,34.16404
"50","1","70","9",277657.28125,37.854469,991.695923,33.844215
