"","sensorId","cycle_id","cycle_step_id","resistancy_of_sensor","temperature","pressure","relative_humidity"
"1","1","34","0",50037028,34.018791,991.997803,41.444778
"2","1","34","1",13149278,33.234585,991.975464,41.852959
"3","1","34","2",740955.125,33.493477,991.934143,41.937981
"4","1","34","3",527020.0625,34.099224,991.972412,41.973724
"5","1","34","4",438356.15625,34.204796,991.973389,41.762569
"6","1","34","5",381947.03125,34.282711,991.979187,41.530239
"7","1","34","6",123910.9375,34.446091,991.962402,41.416794
"8","1","34","7",281550.71875,34.943764,991.944092,41.270473
"9","1","34","8",317126.03125,35.097092,991.963623,40.866688
"10","1","34","9",332575.5,35.222767,991.933105,40.496483
"11","1","38","0",53928000,34.579308,992.00592,40.32571
"12","1","38","1",13582591,33.769958,992.001404,40.759838
"13","1","38","2",767760.0625,34.028847,991.962952,40.862034
"14","1","38","3",536547,34.642143,991.973328,40.891598
"15","1","38","4",440335.40625,34.74017,991.968933,40.680569
"16","1","38","5",384962.40625,34.818092,991.979919,40.449383
"17","1","38","6",125459.445312,34.968899,991.910706,40.466915
"18","1","38","7",287721.28125,35.466579,991.933655,40.188622
"19","1","38","8",326843.28125,35.614876,991.956848,39.816177
"20","1","38","9",342246,35.743069,991.953003,39.495869
"21","1","46","0",57702840,35.099602,992.020447,39.30896
"22","1","46","1",13867118,34.272655,992.00708,39.775784
"23","1","46","2",766897.5625,34.549141,991.950378,39.855225
"24","1","46","3",537391.75,35.159927,991.958862,39.925415
"25","1","46","4",443770.3125,35.260471,991.960083,39.715569
"26","1","46","5",381733.46875,35.333363,991.967957,39.50275
"27","1","46","6",127141.789062,35.491714,991.945862,39.502945
"28","1","46","7",294422.09375,35.986885,991.958313,39.236992
"29","1","46","8",330003.21875,36.135185,991.983032,38.878044
"30","1","46","9",349965.8125,36.245781,991.980591,38.533306
"31","1","50","0",51940560,35.526905,992.012939,38.375374
"32","1","50","1",12969721,34.765305,992.004089,38.87215
"33","1","50","2",732213.0625,35.034252,991.943542,38.95599
"34","1","50","3",520193.03125,35.650066,991.993896,39.025661
"35","1","50","4",422616.59375,35.743069,991.98999,38.809834
"36","1","50","5",364542.53125,35.820992,991.99176,38.604424
"37","1","50","6",123641.632812,35.974316,991.973328,38.461143
"38","1","50","7",294676.25,36.479542,992.015198,38.36932
"39","1","50","8",328099.96875,36.6203,992.011475,38.016846
"40","1","50","9",352495.6875,36.73341,991.998901,37.685589
"41","1","58","0",58948504,36.082397,992.046387,37.518955
"42","1","58","1",13937899,35.237846,991.996094,38.046783
"43","1","58","2",766037,35.506798,991.952393,38.124031
"44","1","58","3",526613.5,36.115074,991.989502,38.185909
"45","1","58","4",435281.625,36.220642,992.019714,37.978218
"46","1","58","5",376263.09375,36.285995,992.011597,37.707054
"47","1","58","6",126108.375,36.441837,991.98114,37.789467
"48","1","58","7",299065.40625,36.937008,991.975708,37.554195
"49","1","58","8",338848.4375,37.09034,992.007874,37.228031
"50","1","58","9",352495.6875,37.198421,991.967224,36.897411
"51","1","62","0",59389216,36.53484,992.049438,36.624905
"52","1","62","1",13991460,35.685257,992.0224,37.262852
"53","1","62","2",766037,35.949181,991.989441,37.374355
"54","1","62","3",527835.0625,36.559975,992.02771,37.423794
"55","1","62","4",436953.28125,36.655491,992.020508,37.227493
"56","1","62","5",376263.09375,36.720844,992.008667,37.028061
"57","1","62","6",126388.546875,36.879196,991.964172,37.051296
"58","1","62","7",300117.21875,37.376884,991.995422,36.822525
"59","1","62","8",341903.1875,37.522675,992.020447,36.484798
"60","1","62","9",357666.78125,37.638298,992.014893,36.156109
"61","1","70","0",56581912,36.911873,992.043091,36.031101
"62","1","70","1",13342020,36.105019,992.028076,36.59021
"63","1","70","2",746627.75,36.376484,991.996155,36.690117
"64","1","70","3",520193.03125,36.982254,992.004089,36.720554
"65","1","70","4",424455.96875,37.082798,992.00116,36.554821
"66","1","70","5",361454.28125,37.150665,992.026855,36.344509
"67","1","70","6",124362.398438,37.306507,991.962036,36.355465
"68","1","70","7",300381.34375,37.794144,992.009888,36.137653
"69","1","70","8",340538.75,37.929878,992.022156,35.805725
"70","1","70","9",358794.6875,38.045506,992.025146,35.501476
"71","1","74","0",50037028,37.183342,992.043823,35.328209
"72","1","74","1",11677833,36.502159,992.046204,35.958015
"73","1","74","2",690725.125,36.773628,991.990906,36.02803
"74","1","74","3",486114.40625,37.376884,991.993652,36.086845
"75","1","74","4",403387.8125,37.474918,992.004089,35.897808
"76","1","74","5",340199.34375,37.525188,991.998108,35.715553
"77","1","74","6",120584.078125,37.698627,991.998352,35.728207
"78","1","74","7",296725.59375,38.183754,992.028992,35.510345
"79","1","74","8",338512.40625,38.32954,992.037537,35.180405
"80","1","74","9",357666.78125,38.432602,992.014893,34.893192
"81","1","82","0",51360500,37.613167,992.039978,34.725727
"82","1","82","1",11740595,36.879196,992.01355,35.354553
"83","1","82","2",695652.1875,37.155693,991.999512,35.424637
"84","1","82","3",487502.96875,37.763981,992.042969,35.50082
"85","1","82","4",403865.125,37.849442,992.022339,35.322613
"86","1","82","5",343970.4375,37.909767,992.036011,35.130215
"87","1","82","6",119319.507812,38.073154,992.009277,35.106541
"88","1","82","7",295953.75,38.57085,992.076782,34.989552
"89","1","82","8",340878.84375,38.696529,992.047791,34.611549
"90","1","82","9",360690.375,38.802101,992.053833,34.33115
"91","1","86","0",59510556,38.13348,992.081055,34.186256
"92","1","86","1",13125576,37.241154,992.018127,34.780144
"93","1","86","2",740151.8125,37.507591,991.976746,34.819584
"94","1","86","3",513927.21875,38.118401,992.035706,34.936069
"95","1","86","4",418471.59375,38.201347,992.030518,34.740543
"96","1","86","5",353225.25,38.259163,992.032959,34.583355
"97","1","86","6",122929.171875,38.422546,992.014771,34.577091
"98","1","86","7",298281.375,38.907677,992.050842,34.365437
"99","1","86","8",340878.84375,39.050953,992.058594,34.089226
"100","1","86","9",364542.53125,39.146473,992.034119,33.791008
"101","1","94","0",60583316,38.490414,992.114441,33.665768
"102","1","94","1",13181014,37.583,992.041199,34.210819
"103","1","94","2",737752.1875,37.856983,992.002686,34.36694
"104","1","94","3",512384.28125,38.455223,992.049377,34.411552
"105","1","94","4",418728.28125,38.548225,992.042419,34.310604
"106","1","94","5",351769.15625,38.601013,992.073792,34.083412
"107","1","94","6",123462.742188,38.759373,992.034973,34.076519
"108","1","94","7",300910.96875,39.249531,992.05365,33.882957
"109","1","94","8",343624.15625,39.380241,992.058655,33.582794
"110","1","94","9",363378.28125,39.475758,992.06427,33.314228
"111","1","98","0",60836388,38.814674,992.118286,33.166161
"112","1","98","1",13141368,37.899715,992.062256,33.79089
"113","1","98","2",735368.0625,38.168671,992.01886,33.870575
"114","1","98","3",509706.3125,38.771938,992.042664,33.926723
"115","1","98","4",415415.8125,38.862431,992.081177,33.761841
"116","1","98","5",352132.0625,38.920246,992.083313,33.593739
"117","1","98","6",121355.773438,39.081116,992.05365,33.621788
"118","1","98","7",304671.21875,39.571278,992.037781,33.416706
"119","1","98","8",341903.1875,39.69696,992.04187,33.11084
"120","1","98","9",363765.53125,39.792477,992.02594,32.871746
"121","1","106","0",60836388,39.121334,992.10553,32.711937
"122","1","106","1",13023847,38.206375,992.063354,33.347466
"123","1","106","2",732213.0625,38.480358,992.036377,33.427288
"124","1","106","3",508567.15625,39.091171,992.087463,33.483658
"125","1","106","4",414407.125,39.164066,992.042725,33.398373
"126","1","106","5",350325,39.224392,992.075439,33.149765
"127","1","106","6",121962.835938,39.385265,992.04187,33.166069
"128","1","106","7",301975.8125,39.857834,992.020447,32.970875
"129","1","106","8",343278.59375,39.988544,992.037476,32.683434
"130","1","106","9",364542.53125,40.079033,992.038513,32.438519
"131","1","110","0",60249140,39.405376,992.098877,32.313835
"132","1","110","1",12862807,38.490414,992.094971,32.93716
"133","1","110","2",729085.0625,38.759373,992.033203,33.004578
"134","1","110","3",505180.0625,39.365158,992.062927,33.083027
"135","1","110","4",413403.3125,39.453133,992.074219,32.918461
"136","1","110","5",347472,39.500893,992.061951,32.807716
"137","1","110","6",121528.601562,39.664284,992.050049,32.679768
"138","1","110","7",301176.46875,40.139366,992.054993,32.548424
"139","1","110","8",343278.59375,40.272591,992.061707,32.284817
"140","1","110","9",366499.65625,40.370621,992.065613,32.052578
"141","1","118","0",61177128,39.694447,992.101868,31.916836
"142","1","118","1",12985140,38.759373,992.082764,32.549042
"143","1","118","2",719859.375,39.043411,992.083801,32.617664
